macrozona;nombre;marca;codigo;n;precio_compra_prom;precio_compra_std;margen_error_compra;precio_compra_sup;precio_compra_inf;perc_error_compra;precio_venta_prom;precio_venta_std;margen_error_venta;precio_venta_sup;precio_venta_inf;perc_error_venta
MACROZONA_4;GALLETA COSTA GRETEL CHOCOLATE 85 GRS;COSTA;7,80222E+12;56;676.16;79.67;20.87;697.03;655.29;3.086;978.54;82.81;21.69;1000.22;956.85;2.216
MACROZONA_4;GALLETA COSTA FRAC MENTA 130 GRS;COSTA;7,80222E+12;27;381.37;32.62;12.3;393.67;369.07;3.226;606.59;63.22;23.85;630.44;582.74;3.931
MACROZONA_4;GALLETA COSTA FRAC CHOCOLATE 130 GRS;COSTA;7,80222E+12;81;383.78;55.67;12.12;395.9;371.65;3.159;587.64;74.48;16.22;603.86;571.42;2.76
MACROZONA_4;GALLETA COSTA FRAC VAINILLA 130 GRS;COSTA;7,80222E+12;97;387.09;60.64;12.07;399.16;375.03;3.118;590.84;75.05;14.94;605.77;575.9;2.528
MACROZONA_4;GALLETA SODA CUBO 54G;COSTA;7,80222E+12;47;172.98;22.07;6.31;179.29;166.67;3.648;290.19;31.79;9.09;299.28;281.1;3.132
MACROZONA_4;GALLETAS COSTA SODA CUBO LINE 54G;COSTA;7,80222E+12;11;159.18;12.25;7.24;166.42;151.94;4.546;289.09;26.63;15.74;304.83;273.35;5.443
MACROZONA_4;PAN RALLADO XL 250G IDEAL;IDEAL;7,8034E+12;64;753.45;103.11;25.26;778.72;728.19;3.353;1072.75;98.24;24.07;1096.82;1048.68;2.244
MACROZONA_4;SNACK EVERCRIPS 50 GR, MIX I;EVERCRISP;7,802E+12;4;397.50;74.11;72.62;470.12;324.88;18.27;587.50;47.87;46.91;634.41;540.59;7.985
MACROZONA_4;CHEETOS MANI 36 GR;CHEETOS;7,802E+12;2;398.50;2.12;2.94;401.44;395.56;0.738;550.00;0.0;0.0;550.0;550.0;0.0
MACROZONA_4;PAPAS FRITAS LISAS MOMS 250 GR;MOM'S;7,802E+12;52;1004.31;129.84;35.29;1039.6;969.02;3.514;1562.04;181.51;49.33;1611.37;1512.7;3.158
MACROZONA_4;RAMITAS SABOR QUESO EVERCRISP 120G;EVERCRISP;7,802E+12;50;755.92;77.06;21.36;777.28;734.56;2.826;1075.58;111.61;30.94;1106.52;1044.64;2.876
MACROZONA_4;CEREAL GATOLATE 110G;EVERCRISP;7,802E+12;38;755.68;83.57;26.57;782.26;729.11;3.516;1082.08;125.78;39.99;1122.07;1042.09;3.696
MACROZONA_4;SNACK MIX I 120G;SNACK MIX;7,802E+12;2;775.00;35.36;49.0;824.0;726.0;6.323;1100.00;0.0;0.0;1100.0;1100.0;0.0
MACROZONA_4;PAPAS FRITAS LAYS CORTE AMERICANO 230 GR;LAY'S;7,802E+12;10;1020.00;63.25;39.2;1059.2;980.8;3.843;1755.00;328.68;203.72;1958.72;1551.28;11.608
MACROZONA_4;ALFAJOR LAGUITO 70 G;LAGUITO;7,8034E+12;59;271.69;27.37;6.98;278.68;264.71;2.57;401.51;46.29;11.81;413.32;389.7;2.942
MACROZONA_4;RAYITA VAINILLA 2P 60G MARINELA;MARINELA;7,80347E+12;64;237.39;23.15;5.67;243.06;231.72;2.389;380.89;60.68;14.87;395.76;366.03;3.903
MACROZONA_4;ALFI MARINELA 45G;MARINELA;7,80347E+12;64;213.03;22.19;5.44;218.47;207.59;2.552;324.14;42.71;10.46;334.6;313.68;3.228
MACROZONA_4;GANSITO MARINELA 50 G;MARINELA;7,80347E+12;77;319.49;58.47;13.06;332.55;306.43;4.088;463.08;71.52;15.98;479.05;447.1;3.45
MACROZONA_4;HELADO PINGUINO 3 UN MARINELA;MARINELA;7,80347E+12;66;466.91;47.19;11.39;478.29;455.52;2.438;671.59;51.88;12.52;684.11;659.07;1.864
MACROZONA_4;QUEQUE CLASICO 225G CENA;CENA;7,80347E+12;53;780.40;96.18;25.89;806.29;754.5;3.318;1105.45;124.54;33.53;1138.98;1071.92;3.033
MACROZONA_4;PIZZA RECTANGULAR 3P 750G IDEAL;IDEAL;7,8034E+12;37;1719.57;206.95;66.68;1786.25;1652.88;3.878;2261.84;219.06;70.59;2332.43;2191.25;3.121
MACROZONA_4;GOLD TENTACIONES  CARAMEL LATTE 152 G;TENTACIONES;7,8028E+12;27;262.59;52.06;19.64;282.23;242.96;7.478;414.41;71.39;26.93;441.33;387.48;6.498
MACROZONA_4;MERMELADA LOS LAGOS FRUTILLA 250G;LOS LAGOS;7,80281E+12;36;427.28;67.96;22.2;449.48;405.08;5.196;668.83;88.68;28.97;697.8;639.87;4.331
