"macrozona","nombre","marca","codigo","n","precio_compra_prom","precio_compra_std","margen_error_compra","precio_compra_sup","precio_compra_inf","perc_error_compra","precio_venta_prom","precio_venta_std","margen_error_venta","precio_venta_sup","precio_venta_inf","perc_error_venta"
MACROZONA_4,"CEREAL CHOCAPIC NESTLÉ, BOLSA INDV. 30 G",CHOCAPIC,"7613031291441",31,235.55,30.92,10.89,246.43,224.66,4.621,367.68,49.2,17.32,385.0,350.36,4.71
MACROZONA_4,"CEREAL MILO NESTLÉ, BOLSA INDV. 30 G",MILO,"7613031291489",23,243.70,27.4,11.2,254.89,232.5,4.595,367.39,49.1,20.07,387.46,347.32,5.462
MACROZONA_4,GALLETA COSTA OBSESION 85 GRS,COSTA,"7802215505027",73,678.82,96.06,22.04,700.86,656.79,3.246,982.15,86.04,19.74,1001.89,962.41,2.01
MACROZONA_4,GALLETA COSTA GRETEL CHOCOLATE 85 GRS,COSTA,"7802215515019",56,676.16,79.67,20.87,697.03,655.29,3.086,978.54,82.81,21.69,1000.22,956.85,2.216
MACROZONA_4,GALLETA COSTA FRAC MENTA 130 GRS,COSTA,"7802215203039",27,381.37,32.62,12.3,393.67,369.07,3.226,606.59,63.22,23.85,630.44,582.74,3.931
MACROZONA_4,GALLETA COSTA FRAC CHOCOLATE 130 GRS,COSTA,"7802215512278",81,383.78,55.67,12.12,395.9,371.65,3.159,587.64,74.48,16.22,603.86,571.42,2.76
MACROZONA_4,GALLETA COSTA FRAC VAINILLA 130 GRS,COSTA,"7802215512285",97,387.09,60.64,12.07,399.16,375.03,3.118,590.84,75.05,14.94,605.77,575.9,2.528
MACROZONA_4,GALLETA SODA CUBO 54G,COSTA,"7802215511615",47,172.98,22.07,6.31,179.29,166.67,3.648,290.19,31.79,9.09,299.28,281.1,3.132
MACROZONA_4,GALLETAS COSTA SODA CUBO LINE 54G,COSTA,"7802215511622",11,159.18,12.25,7.24,166.42,151.94,4.546,289.09,26.63,15.74,304.83,273.35,5.443
MACROZONA_4,PAN RALLADO XL 250G IDEAL,IDEAL,"7803403002212",64,753.45,103.11,25.26,778.72,728.19,3.353,1072.75,98.24,24.07,1096.82,1048.68,2.244
MACROZONA_4,"SNACK EVERCRIPS 50 GR, MIX I",EVERCRISP,"7802000010941",4,397.50,74.11,72.62,470.12,324.88,18.27,587.50,47.87,46.91,634.41,540.59,7.985
MACROZONA_4,CHEETOS MANI 36 GR,CHEETOS,"7802000014185",2,398.50,2.12,2.94,401.44,395.56,0.738,550.00,0.0,0.0,550.0,550.0,0.0
MACROZONA_4,PAPAS FRITAS LISAS MOMS 250 GR,MOM'S,"7802000013690",52,1004.31,129.84,35.29,1039.6,969.02,3.514,1562.04,181.51,49.33,1611.37,1512.7,3.158
MACROZONA_4,RAMITAS SABOR QUESO EVERCRISP 120G,EVERCRISP,"7802000002786",50,755.92,77.06,21.36,777.28,734.56,2.826,1075.58,111.61,30.94,1106.52,1044.64,2.876
MACROZONA_4,CEREAL GATOLATE 110G,EVERCRISP,"7802000011450",38,755.68,83.57,26.57,782.26,729.11,3.516,1082.08,125.78,39.99,1122.07,1042.09,3.696
